Date,Open,High,Low,Close
2010-06-30,-0.1,-0.1,-0.1,-0.1
2010-09-30,-0.6,-0.6,-0.6,-0.6
2010-12-31,-2.8,-2.8,-2.8,-2.8
2011-03-31,6.2,6.2,6.2,6.2
2011-06-30,-0.1,-0.1,-0.1,-0.1
2011-09-30,3.9,3.9,3.9,3.9
2011-12-30,-1.5,-1.5,-1.5,-1.5
2012-03-30,5.6,5.6,5.6,5.6
2012-06-29,-0.5,-0.5,-0.5,-0.5
2012-09-28,-1.9,-1.9,-1.9,-1.9
2012-12-31,11.8,11.8,11.8,11.8
2013-03-29,-4.2,-4.2,-4.2,-4.2
2013-06-28,2,2,2,2
2013-09-30,-2.1,-2.1,-2.1,-2.1
2013-12-31,-0.6,-0.6,-0.6,-0.6
2014-03-31,11.6,11.6,11.6,11.6
2014-06-30,0.3,0.3,0.3,0.3
2014-09-30,-1,-1,-1,-1
2014-12-31,5.6,5.6,5.6,5.6
2015-03-31,2.6,2.6,2.6,2.6
2015-06-30,1.4,1.4,1.4,1.4
2015-09-30,0.4,0.4,0.4,0.4
2015-12-31,5.4,5.4,5.4,5.4
2016-03-31,3.6,3.6,3.6,3.6
2016-06-30,6.2,6.2,6.2,6.2
2016-09-30,0.7,0.7,0.7,0.7
2016-12-30,-4.6,-4.6,-4.6,-4.6
2017-03-31,4.8,4.8,4.8,4.8
2017-06-30,-1.2,-1.2,-1.2,-1.2
2017-09-29,1,1,1,1
2017-12-29,2.5,2.5,2.5,2.5
2018-03-30,3.4,3.4,3.4,3.4
2018-06-29,-1,-1,-1,-1
2018-09-28,5.7,5.7,5.7,5.7
2019-06-28,0.1,0.1,0.1,0.1
2019-09-30,0.2,0.2,0.2,0.2
2019-12-31,0.9,0.9,0.9,0.9
2020-03-31,9.6,9.6,9.6,9.6
2020-06-30,12.3,12.3,12.3,12.3
2020-09-30,-9.6,-9.6,-9.6,-9.6
2020-12-31,14,14,14,14
2021-03-31,-2.8,-2.8,-2.8,-2.8
2021-06-30,5.9,5.9,5.9,5.9
2021-09-30,10.6,10.6,10.6,10.6
2021-12-31,3.9,3.9,3.9,3.9
2022-03-31,12.7,12.7,12.7,12.7
2022-06-30,10.8,10.8,10.8,10.8
2022-09-30,3.5,3.5,3.5,3.5
